topic_id,n,p_supports,p_neutral,p_refutes,entropy_bits,entropy_bits_mm,k_observed,truth_direction,truth_divergence_rate
T01,29,1.0,0.0,0.0,-0.0,0.0,1,SUPPORTS,0.0
T02,29,0.0,0.0,1.0,-0.0,0.0,1,REFUTES,0.0
T03,29,1.0,0.0,0.0,-0.0,0.0,1,NEUTRAL,1.0
T04,30,1.0,0.0,0.0,-0.0,0.0,1,SUPPORTS,0.0
T05,30,0.1,0.0,0.9,0.4689955935892812,0.4930405109374306,2,REFUTES,0.09999999999999998
T06,29,0.0,0.0,1.0,-0.0,0.0,1,REFUTES,0.0
T07,28,1.0,0.0,0.0,-0.0,0.0,1,SUPPORTS,0.0
T08,29,0.0,0.0,1.0,-0.0,0.0,1,REFUTES,0.0
T09,29,0.0,0.0,1.0,-0.0,0.0,1,REFUTES,0.0
T10,30,0.7,0.16666666666666666,0.13333333333333333,1.1786137171821593,1.2267035518784581,3,SUPPORTS,0.30000000000000004
T11,30,0.0,0.0,1.0,-0.0,0.0,1,REFUTES,0.0
T12,30,1.0,0.0,0.0,-0.0,0.0,1,NEUTRAL,1.0
