topic_id,source,n,mean_v_score,max_v_score,pct_valid_all_8,pct_pass_v1,pct_pass_v2,pct_pass_v3,pct_pass_v4,pct_pass_v5,pct_pass_v6,pct_pass_v7,pct_pass_v8
T01,human,10,4.1,8,20.0,60.0,60.0,40.0,20.0,60.0,40.0,70.0,60.0
T02,human,10,3.0,8,20.0,50.0,40.0,30.0,30.0,40.0,20.0,50.0,40.0
T03,ai,30,2.033333333333333,8,0.0,13.333333333333334,13.333333333333334,0.0,0.0,46.666666666666664,33.33333333333333,86.66666666666667,10.0
T03,human,10,4.7,8,20.0,70.0,60.0,40.0,30.0,90.0,40.0,80.0,60.0
T04,human,10,4.5,8,30.0,80.0,70.0,40.0,30.0,70.0,40.0,70.0,50.0
T05,ai,30,2.033333333333333,8,6.666666666666667,10.344827586206897,10.344827586206897,6.666666666666667,6.666666666666667,40.0,20.0,100.0,10.0
T05,human,10,5.9,8,30.0,90.0,80.0,60.0,50.0,80.0,50.0,100.0,80.0
T06,human,10,5.1,8,20.0,80.0,70.0,40.0,50.0,70.0,50.0,80.0,70.0
T07,human,10,4.0,8,10.0,55.55555555555556,55.55555555555556,33.33333333333333,22.22222222222222,88.88888888888889,22.22222222222222,77.77777777777779,44.44444444444444
T08,human,10,4.2,8,10.0,60.0,60.0,40.0,40.0,70.0,20.0,80.0,50.0
T09,human,10,5.777777777777778,8,30.0,77.77777777777779,77.77777777777779,77.77777777777779,33.33333333333333,88.88888888888889,55.55555555555556,88.88888888888889,77.77777777777779
T10,ai,30,2.6551724137931036,8,0.0,20.689655172413794,17.24137931034483,3.4482758620689653,0.0,65.51724137931035,51.724137931034484,93.10344827586206,13.793103448275861
T10,human,10,6.111111111111111,8,10.0,100.0,100.0,44.44444444444444,22.22222222222222,88.88888888888889,55.55555555555556,100.0,100.0
T11,human,10,2.5555555555555554,8,10.0,55.55555555555556,44.44444444444444,22.22222222222222,11.11111111111111,33.33333333333333,33.33333333333333,33.33333333333333,22.22222222222222
T12,ai,30,3.9642857142857144,8,0.0,64.28571428571429,60.71428571428571,7.142857142857142,0.0,89.28571428571429,28.57142857142857,96.42857142857143,50.0
T12,human,10,3.4,8,20.0,70.0,50.0,30.0,20.0,50.0,40.0,40.0,40.0
