model,prompt_id,topic_id,n_valid,n_planned,drop_rate,flag
gemini-3-pro-preview,primary,T01,30,30,0.0,False
gemini-3-pro-preview,primary,T02,30,30,0.0,False
gemini-3-pro-preview,primary,T03,30,30,0.0,False
gemini-3-pro-preview,primary,T04,30,30,0.0,False
gemini-3-pro-preview,primary,T05,30,30,0.0,False
gemini-3-pro-preview,primary,T06,30,30,0.0,False
gemini-3-pro-preview,primary,T07,30,30,0.0,False
gemini-3-pro-preview,primary,T08,30,30,0.0,False
gemini-3-pro-preview,primary,T09,30,30,0.0,False
gemini-3-pro-preview,primary,T10,30,30,0.0,False
gemini-3-pro-preview,primary,T11,30,30,0.0,False
gemini-3-pro-preview,primary,T12,30,30,0.0,False
gemini-3-pro-preview,alt_1,T03,30,30,0.0,False
gemini-3-pro-preview,alt_1,T05,30,30,0.0,False
gemini-3-pro-preview,alt_1,T10,30,30,0.0,False
gemini-3-pro-preview,alt_1,T12,30,30,0.0,False
gemini-3-pro-preview,alt_2,T03,30,30,0.0,False
gemini-3-pro-preview,alt_2,T05,30,30,0.0,False
gemini-3-pro-preview,alt_2,T10,30,30,0.0,False
gemini-3-pro-preview,alt_2,T12,30,30,0.0,False
gemma3_12b,primary,T01,30,30,0.0,False
gemma3_12b,primary,T02,30,30,0.0,False
gemma3_12b,primary,T03,30,30,0.0,False
gemma3_12b,primary,T04,30,30,0.0,False
gemma3_12b,primary,T05,30,30,0.0,False
gemma3_12b,primary,T06,30,30,0.0,False
gemma3_12b,primary,T07,30,30,0.0,False
gemma3_12b,primary,T08,30,30,0.0,False
gemma3_12b,primary,T09,30,30,0.0,False
gemma3_12b,primary,T10,30,30,0.0,False
gemma3_12b,primary,T11,30,30,0.0,False
gemma3_12b,primary,T12,30,30,0.0,False
gemma3_12b,alt_1,T03,30,30,0.0,False
gemma3_12b,alt_1,T05,30,30,0.0,False
gemma3_12b,alt_1,T10,30,30,0.0,False
gemma3_12b,alt_1,T12,30,30,0.0,False
gemma3_12b,alt_2,T03,30,30,0.0,False
gemma3_12b,alt_2,T05,30,30,0.0,False
gemma3_12b,alt_2,T10,30,30,0.0,False
gemma3_12b,alt_2,T12,30,30,0.0,False
llama3.2_3b,primary,T01,30,30,0.0,False
llama3.2_3b,primary,T02,30,30,0.0,False
llama3.2_3b,primary,T03,30,30,0.0,False
llama3.2_3b,primary,T04,30,30,0.0,False
llama3.2_3b,primary,T05,30,30,0.0,False
llama3.2_3b,primary,T06,30,30,0.0,False
llama3.2_3b,primary,T07,30,30,0.0,False
llama3.2_3b,primary,T08,30,30,0.0,False
llama3.2_3b,primary,T09,30,30,0.0,False
llama3.2_3b,primary,T10,30,30,0.0,False
llama3.2_3b,primary,T11,30,30,0.0,False
llama3.2_3b,primary,T12,30,30,0.0,False
llama3.2_3b,alt_1,T03,30,30,0.0,False
llama3.2_3b,alt_1,T05,30,30,0.0,False
llama3.2_3b,alt_1,T10,30,30,0.0,False
llama3.2_3b,alt_1,T12,30,30,0.0,False
llama3.2_3b,alt_2,T03,30,30,0.0,False
llama3.2_3b,alt_2,T05,30,30,0.0,False
llama3.2_3b,alt_2,T10,30,30,0.0,False
llama3.2_3b,alt_2,T12,30,30,0.0,False
