topic_id,n,p_supports,p_neutral,p_refutes,entropy_bits,truth_direction,truth_divergence_rate
T01,30,1.0,0.0,0.0,-0.0,SUPPORTS,0.0
T02,30,1.0,0.0,0.0,-0.0,SUPPORTS,0.0
T03,30,1.0,0.0,0.0,-0.0,SUPPORTS,0.0
T04,30,1.0,0.0,0.0,-0.0,SUPPORTS,0.0
T05,30,0.6333333333333333,0.36666666666666664,0.0,0.9480782435939055,SUPPORTS,0.3666666666666667
T06,30,1.0,0.0,0.0,-0.0,SUPPORTS,0.0
T07,30,0.8,0.03333333333333333,0.16666666666666666,0.8519325792170331,REFUTES,0.8333333333333334
T08,30,0.0,0.03333333333333333,0.9666666666666667,0.21084230031853213,REFUTES,0.033333333333333326
T09,30,0.0,0.0,1.0,-0.0,REFUTES,0.0
T10,30,0.13333333333333333,0.0,0.8666666666666667,0.5665095065529053,REFUTES,0.1333333333333333
T11,30,1.0,0.0,0.0,-0.0,NEUTRAL,1.0
T12,30,1.0,0.0,0.0,-0.0,NEUTRAL,1.0
