topic_id,n_ai,n_human,ai_dispersion,human_dispersion,ratio_ai_to_human
T06,30,10,0.5329718990242152,0.9110139924021635,0.585031518142629
T01,30,10,0.6072572926517147,0.8921246570966551,0.6806865921943942
T02,30,10,0.5370586847010137,0.8880321765839091,0.6047739021878422
T03,30,10,0.5432317305394101,0.9133947074024428,0.5947393017902189
T04,30,10,0.5277569263399227,0.9282948625963924,0.5685229420141505
T05,30,10,0.5476162120633101,0.8718590923591599,0.6281017389880258
T07,30,10,0.6032177611988664,0.8718132188674138,0.6919116940925901
T08,30,10,0.4893013925088118,0.9417983752515668,0.5195394315456457
T09,30,10,0.6109828893880379,0.9112654758858378,0.670477380693155
T10,30,10,0.4753717671239174,0.8963398098860822,0.5303477117504504
T11,30,10,0.58305876219386,0.9375913273753136,0.6218687664550722
T12,30,10,0.5854617104057721,0.8803209204270898,0.6650548644484491
